CC_ID,TOP1_DX,TOP1_SCORE,TOP2_DX,TOP2_SCORE,SCORE_GAP,FLAGS
abdominal_pain,Gastroenteritis (benign - auto-generated),0.3,Constipation (benign - auto-generated),0.3,0,LOW_GAP;TIES
allergic_rhinitis,Viral Rhinosinusitis (benign - auto-generated),0.3,No pain or fever,0.09,0.21,LOW_GAP
anxiety,Adjustment Stress (benign - auto-generated),0.3,,0,0.3,LOW_GAP
back_pain,Sprain Strain (benign - auto-generated),0.3,,0,0.3,LOW_GAP
cardio_chest_pain,Pleuritic + positional pain,2.4,acs rule 1,2,0.3999999999999999,LOW_GAP
cardio_leg_swelling,chf_volume rule 1,1.5,cellulitis rule 1,1.5,0,LOW_GAP;TIES
cardio_palpitations,svt_af rule 1,1.5,thyroid_related rule 1,1.5,0,LOW_GAP;TIES
chest_pain,Gerd (benign - auto-generated),0.3,Costochondritis (benign - auto-generated),0.3,0,LOW_GAP;TIES
cough,Viral Uri (benign - auto-generated),0.3,No pain or fever,0.09,0.21,LOW_GAP
dental_pain,No pain or fever,0.09,Pain present,0.04,0.049999999999999996,BENIGN_TOP;LOW_GAP
derm_allergic_reaction,anaphylaxis rule 1,2,anaphylaxis rule 2,2,0,LOW_GAP;TIES
derm_cellulitis,nec_fas rule 1,2.8,abscess rule 1,2.4,0.3999999999999999,LOW_GAP
derm_rash,meningococcemia purpura,5,SJS mucosal involvement,3.8,1.2000000000000002,LOW_GAP
diarrhea,Viral Gastroenteritis (benign - auto-generated),0.3,,0,0.3,LOW_GAP
dysuria,Irritant Urethritis (benign - auto-generated),0.3,,0,0.3,LOW_GAP
endo_hyperglycemia,Confusion present,4,Kussmaul breathing,3,1,LOW_GAP
endo_hypoglycemia,severe_hypoglycemia rule 1,2.5,severe_hypoglycemia rule 2,2,0.5,LOW_GAP
endo_thyroid_symptoms,thyroid_storm rule 1,2.5,BOOST_STORM_DELIR suppressor,2,0.5,LOW_GAP
ent_ear_pain,Mastoid signs,5,Ear drainage,2.5,2.5,LOW_GAP
ent_epistaxis,Heavy bleeding,4,Prolonged >20 min,3.2,0.7999999999999998,LOW_GAP
ent_nasal_congestion,Itchy eyes/nose,2,Duration 10+ days,2,0,LOW_GAP;TIES
ent_sinus_pressure,Periorbital swelling,5,Vision changes,5,0,LOW_GAP;TIES
ent_sore_throat,Drooling (airway risk),4,Trismus/muffled voice,3.8,0.20000000000000018,LOW_GAP
environmental_heat_illness,AMS present,6,High core temp,4,2,LOW_GAP
environmental_hypothermia_cold_exposure,Frostbite signs,5.4,Confusion,5,0.40000000000000036,LOW_GAP
general_fatigue,anemia_bleed rule 2,2.5,cardiopulmonary rule 3,2.5,0,LOW_GAP;TIES
general_generalized_weakness,stroke_like rule 1,3,hypoglycemia rule 4,2.5,0.5,LOW_GAP
general_nausea_malaise,gi_bleed rule 3,2.5,cardiac_mimic rule 4,2.5,0,LOW_GAP;TIES
gi_abdominal_pain,RLQ pain,2.85,RUQ pain,2.7,0.1499999999999999,LOW_GAP
gi_acute_pancreatitis_like,Epigastric pain,1,Back radiation,1,0,LOW_GAP;TIES
gi_constipation,No gas,1.5,Vomiting,1,0.5,LOW_GAP
gi_diarrhea,Bloody,1.5,Recent antibiotics,1.5,0,LOW_GAP;TIES
gi_dysphagia,Food stuck,2.4,Weight loss,2.1,0.2999999999999998,LOW_GAP
gi_gi_bleeding,Hematemesis,1.5,Hematochezia,1.5,0,LOW_GAP;TIES
gi_jaundice,Dark urine,1,RUQ pain,1,0,LOW_GAP;TIES
gi_vomiting,Severe pain,1,Fever,0.5,0.5,LOW_GAP
gu_dysuria_uti,Discharge,1.5,Fever,1,0.5,LOW_GAP
gu_flank_pain,Fever,3,Stone features,2,1,LOW_GAP
gu_hematuria,On anticoagulation,1.5,Stone pain,1,0.5,LOW_GAP
gu_pelvic_pain_possible_ovarian_torsion,Sudden onset,1.5,Vomiting,1,0.5,LOW_GAP
gu_sti_exposure_discharge,Ulcers/blisters,1.5,Pelvic pain,1,0.5,LOW_GAP
gu_testicular_pain,Sudden onset,1.5,Trauma,1.5,0,LOW_GAP;TIES
gu_testicular_pain_prostatitis,Sudden onset,2,Skin changes,2,0,LOW_GAP;TIES
gu_urinary_retention,Neurologic signs,2.4,Blood/clots,1.5,0.8999999999999999,LOW_GAP
gu_uti_symptoms,Pregnancy,3,Flank pain,2,1,LOW_GAP
gu_vaginal_bleeding,Pregnancy,1.5,Heavy bleeding,1,0.5,LOW_GAP
gyn_pelvic_pain,Pregnancy,2,Hypotension,2,0,LOW_GAP;TIES
headache,Benign Tension (benign - auto-generated),0.3,,0,0.3,LOW_GAP
hyperglycemia,Stress Hyperglycemia (benign - auto-generated),0.3,,0,0.3,LOW_GAP
id_animal_bite_wound_infection,nec_fas rule 4,2.5,rabies_exposure rule 5,2,0.5,LOW_GAP
id_fever,Neck stiffness present,4,Immunocompromised,2.85,1.15,LOW_GAP
id_flu_like,pneumonia_risk rule 3,1.5,influenza_like rule 1,1,0.5,LOW_GAP
insomnia,No pain or fever,0.09,Pain present,0.04,0.049999999999999996,BENIGN_TOP;LOW_GAP
msk_back_pain,cauda equina saddle,6,cancer history,3.4,2.6,LOW_GAP
msk_joint_pain,septic_arthritis rule 1,1.5,septic_arthritis rule 2,1,0.5,LOW_GAP
msk_sprain_injury,fracture_dislocation rule 1,2,nv_issue rule 1,2,0,LOW_GAP;TIES
nasal_congestion,Viral Rhinosinusitis (benign - auto-generated),0.3,,0,0.3,LOW_GAP
neuro_confusion_ams,Stroke signs,1.5,Low glucose,1,0.5,LOW_GAP
neuro_dizziness_vertigo,Ear symptoms,1.5,BOOST_VN_NEURODEF_V1 suppressor,1.5,0,LOW_GAP;TIES
neuro_headache,Thunderclap onset,6,Fever with neck stiffness,5.4,0.5999999999999996,LOW_GAP
neuro_seizure,Status epilepticus,2.5,First seizure,2,0.5,LOW_GAP
neuro_syncope,Exertional,1.5,Bleeding signs,1.5,0,LOW_GAP;TIES
neuro_weakness_numbness,Spinal signs,1.5,Sudden onset,1,0.5,LOW_GAP
ophtho_eye_pain_foreign_body,chemical_injury rule 4,2.5,foreign_body rule 1,1.5,1,LOW_GAP
ophtho_red_eye,trauma or chemical exposure,6,contact lens wearer,2.7,3.3,LOW_GAP
ophtho_vision_loss,stroke_visual rule 4,2.5,traumatic_injury rule 5,2.5,0,LOW_GAP;TIES
ortho_trauma_fracture_dislocation,open_fracture rule 3,3,nv_compromise rule 4,3,0,LOW_GAP;TIES
ortho_trauma_head_injury,Neurodeficit present,6,Blood thinner present,3.8,2.2,LOW_GAP
ortho_trauma_laceration,tendon_nerve_injury rule 3,2.5,needs_repair rule 2,1.5,1,LOW_GAP
psych_agitation_psychosis,delirium_medical rule 1,2.5,acute_psychosis rule 1,2,0.5,LOW_GAP
psych_anxiety_panic,Syncope,4,New neuro symptoms,4,0,LOW_GAP;TIES
psych_depression_suicidal_ideation,suicide_risk rule 1,2,suicide_risk rule 2,2,0,LOW_GAP;TIES
pulm_chest_tightness,Wheezing,2,Fever,2,0,LOW_GAP;TIES
pulm_cough,Fever,4,Wheezing,3.6,0.3999999999999999,LOW_GAP
pulm_hemoptysis,Fever,2,DVT/PE risk,2,0,LOW_GAP;TIES
pulm_shortness_of_breath,Wheezing,2,Fever,2,0,LOW_GAP;TIES
pulm_wheezing,Allergic symptoms,5,Known trigger,1.5,3.5,LOW_GAP
sinus_pressure,Viral Rhinosinusitis (benign - auto-generated),0.3,No pain or fever,0.09,0.21,LOW_GAP
sore_throat,Postnasal Drip (benign - auto-generated),0.3,,0,0.3,LOW_GAP
tox_overdose_intoxication,opioid resp depression,6,serotonin tremor/clonus,3.8,2.2,LOW_GAP
tox_poisoning_exposure,corrosive_injury rule 1,2.5,inhalation_injury rule 2,2.5,0,LOW_GAP;TIES
tox_withdrawal,severe_withdrawal rule 3,3,severe_withdrawal rule 1,2.5,0.5,LOW_GAP
