Score_ID,Name,Applies_To_Complaint,Criterion_ID,Logic,Points,Threshold_JSON,Output_Template_ID
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_age_lt_50,"perc_age_lt_50=true",1,"{""pass_min"":8}","TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_hr_lt_100,"perc_hr_lt_100=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_spo2_ge_95,"perc_spo2_ge_95=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_no_hemoptysis,"perc_no_hemoptysis=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_no_estrogen,"perc_no_estrogen=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_no_prior_dvt_pe,"perc_no_prior_dvt_pe=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_no_unilateral_leg_swelling,"perc_no_unilateral_leg_swelling=true",1,,"TPL_SCORE_PERC_V1"
PERC,PERC Rule-Out Criteria,pulm_shortness_of_breath,perc_no_recent_surgery,"perc_no_recent_surgery=true",1,,"TPL_SCORE_PERC_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_clinical_dvt,"wells_clinical_dvt=true",3,"{""pe_unlikely_max"":4,""pe_likely_min"":5}","TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_pe_most_likely,"wells_pe_most_likely=true",3,,"TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_hr_gt_100,"wells_hr_gt_100=true",1.5,,"TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_recent_surgery,"wells_recent_surgery=true",1.5,,"TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_prior_dvt_pe,"wells_prior_dvt_pe=true",1.5,,"TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_hemoptysis,"wells_hemoptysis=true",1,,"TPL_SCORE_WELLS_PE_V1"
WELLS_PE,Wells Score for PE,pulm_shortness_of_breath,wells_active_cancer,"wells_active_cancer=true",1,,"TPL_SCORE_WELLS_PE_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_fever,"centor_fever=true",1,"{""low_max"":1,""mid_max"":3,""high_min"":4}","TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_no_cough,"centor_no_cough=true",1,,"TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_tonsillar_exudate,"centor_tonsillar_exudate=true",1,,"TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_tender_nodes,"centor_tender_nodes=true",1,,"TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_age_3_14,"centor_age_3_14=true",1,,"TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_age_15_44,"centor_age_15_44=true",0,,"TPL_SCORE_CENTOR_V1"
CENTOR,Centor/McIsaac (Adult Strep),ent_sore_throat,centor_age_45_plus,"centor_age_45_plus=true",-1,,"TPL_SCORE_CENTOR_V1"
CURB65,CURB-65 (Pneumonia Severity),pulm_cough,curb_confusion,"curb_confusion=true",1,"{""low_max"":1,""mid_max"":2,""high_min"":3}","TPL_SCORE_CURB65_V1"
CURB65,CURB-65 (Pneumonia Severity),pulm_cough,curb_urea_high,"curb_urea_high=true",1,,"TPL_SCORE_CURB65_V1"
CURB65,CURB-65 (Pneumonia Severity),pulm_cough,curb_rr_ge_30,"curb_rr_ge_30=true",1,,"TPL_SCORE_CURB65_V1"
CURB65,CURB-65 (Pneumonia Severity),pulm_cough,curb_bp_low,"curb_bp_low=true",1,,"TPL_SCORE_CURB65_V1"
CURB65,CURB-65 (Pneumonia Severity),pulm_cough,curb_age_ge_65,"curb_age_ge_65=true",1,,"TPL_SCORE_CURB65_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_history_moderate,"heart_history_moderate=true",1,"{""low_max"":3,""mid_max"":6,""high_min"":7}","TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_history_high,"heart_history_high=true",2,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_ecg_st_dev,"heart_ecg_st_dev=true",2,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_ecg_nonspecific,"heart_ecg_nonspecific=true",1,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_age_ge_65,"heart_age_ge_65=true",2,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_age_45_64,"heart_age_45_64=true",1,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_risk_factors_ge3,"heart_risk_factors_ge3=true",2,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_risk_factors_1_2,"heart_risk_factors_1_2=true",1,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_troponin_elevated,"heart_troponin_elevated=true",2,,"TPL_SCORE_HEART_V1"
HEART,HEART Score (Chest Pain),cardio_chest_pain,heart_troponin_normal,"heart_troponin_normal=true",0,,"TPL_SCORE_HEART_V1"
